city_name,rainfall,decade
Perth,0,1960s
Perth,1.5,1960s
Perth,0,1970s
Perth,1.8,1970s
Perth,0,1970s
Perth,2.8,1970s
Perth,0,1970s
Perth,0,1970s
Perth,0,1970s
Perth,0,1970s
Perth,0,1970s
Perth,0,1980s
Perth,0,1980s
Perth,0,1980s
Perth,0,1980s
Perth,0,1980s
Perth,0,1980s
Perth,0,1980s
Perth,0,1980s
Perth,0,1980s
Perth,0,1980s
Perth,0,1990s
Perth,0,1990s
Perth,0,1990s
Perth,0,1990s
Perth,0,1990s
Perth,0,1990s
Perth,0,1990s
Perth,0,1990s
Perth,0.2,1990s
Perth,0,1990s
Perth,2.4,2000s
Perth,0,2000s
Perth,0,2000s
Perth,0,2000s
Perth,0,2000s
Perth,0,2000s
Perth,0,2000s
Perth,0,2000s
Perth,0,2000s
Perth,0,2000s
Perth,0,2010s
Perth,0,2010s
Perth,0,2010s
Perth,0,2010s
Perth,0,2010s
Perth,0,2010s
Perth,0,2010s
Perth,0,2010s
Perth,2.4,2010s
Perth,0,2010s
Adelaide,0,1910s
Adelaide,5.1,1910s
Adelaide,0,1910s
Adelaide,0,1910s
Adelaide,0,1910s
Adelaide,0,1910s
Adelaide,0,1910s
Adelaide,0,1910s
Adelaide,0,1910s
Adelaide,0,1910s
Adelaide,0.5,1920s
Adelaide,0,1920s
Adelaide,0,1920s
Adelaide,0,1920s
Adelaide,0,1920s
Adelaide,0,1920s
Adelaide,0,1920s
Adelaide,0,1920s
Adelaide,0,1920s
Adelaide,0,1920s
Adelaide,0,1930s
Adelaide,0,1930s
Adelaide,0,1930s
Adelaide,0,1930s
Adelaide,0,1930s
Adelaide,0,1930s
Adelaide,0,1930s
Adelaide,0,1930s
Adelaide,0,1930s
Adelaide,0.5,1930s
Adelaide,0,1940s
Adelaide,0,1940s
Adelaide,0,1940s
Adelaide,0.3,1940s
Adelaide,0,1940s
Adelaide,0,1940s
Adelaide,12.2,1940s
Adelaide,0,1940s
Adelaide,0,1940s
Adelaide,0,1940s
Adelaide,0,1950s
Adelaide,0,1950s
Adelaide,0,1950s
Adelaide,0,1950s
Adelaide,0,1950s
Adelaide,0,1950s
Adelaide,0,1950s
Adelaide,0,1950s
Adelaide,0,1950s
Adelaide,0,1950s
Adelaide,0,1960s
Adelaide,0,1960s
Adelaide,10.7,1960s
Adelaide,0.8,1960s
Adelaide,0,1960s
Adelaide,0,1960s
Adelaide,0.5,1960s
Adelaide,0,1960s
Adelaide,0,1960s
Adelaide,0,1960s
Adelaide,0.3,1970s
Adelaide,0,1970s
Adelaide,0,1970s
Adelaide,0,1970s
Adelaide,0,1970s
Adelaide,0,1970s
Adelaide,0,1970s
Adelaide,48,1970s
Adelaide,0,1970s
Adelaide,16.6,1970s
Adelaide,0,1980s
Adelaide,0,1980s
Adelaide,0,1980s
Adelaide,0,1980s
Adelaide,0,1980s
Adelaide,0,1980s
Adelaide,0,1980s
Adelaide,0,1980s
Adelaide,0,1980s
Adelaide,0,1980s
Adelaide,3.8,1990s
Adelaide,0,1990s
Adelaide,0,1990s
Adelaide,0,1990s
Adelaide,3.8,1990s
Adelaide,0,1990s
Adelaide,0,1990s
Adelaide,0,1990s
Adelaide,0,1990s
Adelaide,0,1990s
Adelaide,0,2000s
Adelaide,0,2000s
Adelaide,0,2000s
Adelaide,0,2000s
Adelaide,0,2000s
Adelaide,0,2000s
Adelaide,0,2000s
Adelaide,0,2000s
Adelaide,0,2000s
Adelaide,0,2000s
Adelaide,0,2010s
Adelaide,0,2010s
Adelaide,0,2010s
Adelaide,0,2010s
