city_name,temperature,decade
PERTH,25.7,1910s
PERTH,37.5,1910s
PERTH,32.9,1910s
PERTH,25.7,1910s
PERTH,32.6,1910s
PERTH,31.3,1910s
PERTH,35.5,1910s
PERTH,27.5,1910s
PERTH,37.4,1910s
PERTH,23,1910s
PERTH,35.7,1920s
PERTH,33.8,1920s
PERTH,27,1920s
PERTH,31.9,1920s
PERTH,25.3,1920s
PERTH,29.4,1920s
PERTH,41.7,1920s
PERTH,31.3,1920s
PERTH,32.3,1920s
PERTH,24,1920s
PERTH,25.3,1930s
PERTH,33.4,1930s
PERTH,33,1930s
PERTH,23.5,1930s
PERTH,30.7,1930s
PERTH,35.6,1930s
PERTH,30.3,1930s
PERTH,24.2,1930s
PERTH,25.4,1930s
PERTH,25.7,1930s
PERTH,29.3,1940s
PERTH,37.8,1940s
PERTH,24.9,1940s
PERTH,35.6,1940s
PERTH,39.7,1940s
PERTH,42.5,1940s
PERTH,31.9,1940s
PERTH,31.9,1940s
PERTH,31.3,1940s
PERTH,41,1940s
PERTH,34.7,1950s
PERTH,33.4,1950s
PERTH,26.7,1950s
PERTH,23.7,1950s
PERTH,35.3,1950s
PERTH,32.6,1950s
PERTH,32.8,1950s
PERTH,38.2,1950s
PERTH,33.8,1950s
PERTH,23.8,1950s
PERTH,30.1,1960s
PERTH,36.6,1960s
PERTH,26.5,1960s
PERTH,35.6,1960s
PERTH,28.1,1960s
PERTH,26.3,1960s
PERTH,29.8,1960s
PERTH,38.6,1960s
PERTH,25.9,1960s
PERTH,22.6,1960s
PERTH,29.8,1970s
PERTH,38.5,1970s
PERTH,38.2,1970s
PERTH,25.7,1970s
PERTH,38.2,1970s
PERTH,37.3,1970s
PERTH,25.4,1970s
PERTH,24.9,1970s
PERTH,28.8,1970s
PERTH,31.1,1970s
PERTH,28.4,1980s
PERTH,28,1980s
PERTH,36.1,1980s
PERTH,40.1,1980s
PERTH,33.1,1980s
PERTH,32.3,1980s
PERTH,38.3,1980s
PERTH,28.1,1980s
PERTH,30,1980s
PERTH,37.3,1980s
PERTH,29.6,1990s
PERTH,37.1,1990s
PERTH,30,1990s
PERTH,27.8,1990s
PERTH,29.4,1990s
PERTH,37.4,1990s
PERTH,40.9,1990s
PERTH,38.4,1990s
PERTH,28.9,1990s
PERTH,32.6,1990s
PERTH,25.7,2000s
PERTH,36,2000s
PERTH,30.3,2000s
PERTH,29.7,2000s
PERTH,35.7,2000s
PERTH,39.8,2000s
PERTH,32.2,2000s
PERTH,28,2000s
PERTH,41.9,2000s
PERTH,32.6,2000s
PERTH,43,2010s
PERTH,37.1,2010s
PERTH,32.2,2010s
